ID,Is_Lead
W7HAQKDV,0.2509391
8C5PKJ7G,0.08437807
E4GQJZSQ,0.05520424
UENREGNV,0.123007216
CC4LYHEW,0.428906
GDKGLTBT,0.13760392
G3ER8CGX,0.07401771
ZG4KT59X,0.040603235
LW93KJMZ,0.45805076
9AR5FBSQ,0.62014407
FHLWDMRV,0.054481424
EON5DCWD,0.9512797
J8UXTMYV,0.2757193
IXBW5HZH,0.039695695
LDHQB458,0.15374243
GNHTIKF3,0.052311894
8NO22KTE,0.03054605
SGJFSSJK,0.4431015
TD8D3NDD,0.08049947
8RQ27JGU,0.34952027
A8GKBMBO,0.34119925
ODVMNUDE,0.5817235
EA5CRL7L,0.065443754
6UI7RPCH,0.47182092
7BJYM94L,0.06408323
X3PZJF7F,0.38534233
YCSSMPV7,0.49409845
4EV9VXL8,0.5653951
IPNJFQTY,0.2197465
XPWNJRJC,0.024547327
3WHNSBRB,0.42552122
U245YKM8,0.042994205
68EFFKBB,0.8036174
NEUII7AB,0.98915625
F7CSLYWT,0.06841125
5EOMOZHG,0.2869801
6CYUTUFN,0.35117057
K7YUC8LF,0.28164476
LSMCXMXA,0.074452646
AALPBPBP,0.0785268
ZPX6VOH2,0.18670028
CDBFWQGM,0.3785447
JUQ76NJV,0.26426896
QHE7UULR,0.04909212
JRMNMZJA,0.077596135
GZ4EZZFX,0.41126007
9L9JFIAR,0.5856857
GTOE4RN4,0.12344177
CUYE7ST4,0.36493
FFM6DHEA,0.46051142
5XUK7XLZ,0.51640487
4HTGJEEZ,0.07212926
RWYBAMRG,0.17242745
RQZGBGGN,0.5258392
ITVSUTU9,0.4444728
6UMDX7NQ,0.41311187
4IVKAFYY,0.5032741
ZKYOSQEU,0.567416
9JYXIDL4,0.9963169
XNURWQBT,0.07153382
HVNIJFQC,0.06810226
CGGVBJKZ,0.9925889
JO9DV3NY,0.42088237
EYENUQR9,0.3608136
FPU4ZI8H,0.21507028
2MALVTY4,0.07673924
QN4REV7D,0.09284652
27F5ZEQA,0.39383662
MKJUE4K2,0.1757971
4ECWF4DN,0.06442817
KWBJAQMY,0.08545089
3YAW8OEY,0.08095212
ZHHFH7H9,0.08939656
BO2822VM,0.109693415
NQZUPVUA,0.04136469
MUT2PZ7T,0.29502147
2MFKPCPS,0.3907397
4RLVOVMJ,0.5757133
JISGN7XF,0.12183663
NNOFHDAC,0.059959237
ODE23CPW,0.021391086
ZNTYNFME,0.17668511
NQM48VKU,0.24472103
DGVBCYY7,0.043302137
9F38NUKC,0.608548
3Z7KCIZS,0.04309131
ERAX3STD,0.09474467
N9TCDYYG,0.07770986
R4UMWUZK,0.23428631
CPERTJBJ,0.11806824
4XK5BMA9,0.05035686
2PKDM5B2,0.026253654
SW5GTHZN,0.3044107
ATJAEQCJ,0.4338748
NHNXBSFY,0.29820386
NRGYTYZJ,0.04063604
UZNABWAT,0.07051816
CVP3VZN5,0.1600438
JEAYZXKC,0.07330433
87LFEVTZ,0.23893015
N7ZEJ2CQ,0.058198035
AQT3ADAP,0.115798384
WC8ROKF8,0.08535288
D9HWEXEV,0.43082044
MMHWGZCN,0.070203215
YKCAQFHU,0.40886995
NDPFBA9X,0.40193895
3T6C7AEA,0.32488534
GZWB38J9,0.069742285
OFTXYNYQ,0.07145099
QYZQIXBJ,0.42052597
N7PJT5HO,0.10830401
JP2PNX9X,0.20400585
N3FUZDIH,0.07297567
UXKAVBLS,0.0367469
G24JWDKS,0.06872231
HQOKKQVX,0.10446532
HTXFVZZG,0.15835528
3TJKVA4J,0.04891171
CRGS7FPX,0.1681751
BTRJTMR3,0.14080359
ERLPQML7,0.021353362
9FDFXYAW,0.5008442
MEEKFDZZ,0.06634436
ZGY8ETLW,0.5247903
AXVUJHT9,0.023472225
35ILRW7D,0.48852435
DR2U5JQX,0.48074925
WHZ7CEY6,0.55007493
UCPMS2KF,0.092520416
HB6MJHDN,0.26048756
7NWFPJ2X,0.3235817
4QXD6K4K,0.44050735
D6H3RTAZ,0.10554321
L67WSXUY,0.42997846
IXHVY78L,0.17775631
H6KE88O6,0.2874854
EAPKN7G8,0.9968659
GQXJSFJE,0.318549
BVHSRABV,0.1441751
DUY76GFX,0.537895
O7H9KPSD,0.46152875
6EDBA5AN,0.2267155
V24CAXFM,0.17243418
SERPSAWP,0.05072939
H47QYY5K,0.17468977
5TYQNFPE,0.37483218
HGDB7KMR,0.5553238
DWH8Q2S3,0.42629883
USNBQZAK,0.035512008
I89VR4AB,0.21319488
ATZVVXWJ,0.5617251
HOKP6ZTS,0.10627128
ZDKT2SSW,0.15125354
DK5HJYQE,0.12438557
ABKW7FGW,0.4654109
BCSW3W7T,0.057685953
6T4VNEWD,0.58153415
XBALBNYB,0.35868675
NWMJR3W5,0.04078322
Q5BJ4ULE,0.1068975
DOFSPEWD,0.4093329
ANX8FUBJ,0.05443044
KPR67SVO,0.030721873
44EV7IJE,0.04037557
VZEK4IOK,0.4773913
CZMKWRQN,0.062626444
VGQUQLXT,0.17945366
MS6GASNJ,0.10955576
4ENG9TKV,0.1966061
UHRRWLGR,0.1315066
APFSHZYP,0.06392329
M7MURWXC,0.40642843
3EOATQBT,0.026573133
MDZG7EZX,0.08763101
QZ6LSSTB,0.13215731
Y7EEZYYS,0.5447826
RYKLU6HL,0.04352007
CWQ8OAQ8,0.09027123
WSFUNE28,0.46953306
9PFQKPRB,0.061428003
MCLXWKBC,0.050806474
NWDXDZEN,0.27743423
EBLDBRDR,0.29301694
CJRW5JYT,0.16473866
CMMKRNUZ,0.480839
EATPTPY3,0.06406377
J5AGUF6Q,0.19080813
8WYO2BBG,0.42251778
9EPXIMZB,0.084158786
UZERUG9W,0.1947144
QEQ79QUC,0.19896705
ZNHVE7QZ,0.33358717
PU3J43GY,0.24069175
HWDBXAUK,0.056056123
W74BHIAD,0.12857573
MGLDAPOA,0.06579197
BYFCPDX5,0.2840995
S2QDUDEJ,0.986424
HBYRWBWL,0.020766601
8CIAWHWZ,0.24360675
ZFYFFXT5,0.35256112
UGIADHRB,0.39611998
JDDGRBSU,0.20691735
NBS2LTYW,0.35237148
DBKM3FRW,0.6797455
GLBHRXKB,0.020305922
9WDPTNCN,0.03164773
NVVVFQ9U,0.23423412
6AT635HW,0.07070723
HPHDI6NN,0.068269394
CPNAGJ95,0.050423168
FY6AFNCK,0.9983114
KWQAVZOE,0.4926213
HGBDE3LM,0.45975983
SYKEB6EV,0.16049412
9BROJWWS,0.4335524
CG8DGVAV,0.51965624
H7MT8CNK,0.14962195
GJVVWNKN,0.21983993
FXWTMJDG,0.10226971
OSNGFACM,0.16775265
PBFT55CF,0.9771255
4P8GFHSL,0.058371335
9ZZ4F4XF,0.30904344
CN4YERMU,0.23010579
8TUDLTWK,0.19401936
USFZPY7Z,0.03978667
VBJXREA8,0.041948322
9LBNXHQ2,0.15684928
PY6HCDWF,0.06357293
9VJMJR6X,0.19382764
4GAEJIQO,0.08125051
F34SD6YQ,0.15574335
HZ3BZVH6,0.19790764
9WVBAWEY,0.27010366
BPNYRSEH,0.08983779
7OGHEHO3,0.16521634
LRJZMHFT,0.08732027
PCHQW72T,0.4792797
BFJQGRFT,0.3668162
UVJ6UYBF,0.15897493
LRVO7MCH,0.32205275
EAOF4EYO,0.36257777
5HPCBEQQ,0.20953315
8FJBKABE,0.09355967
27J5UDAU,0.06276316
4MAT9RSM,0.5589155
SBDGZSY9,0.27427956
HPYN9M2Z,0.15318353
G7D2BESM,0.25810936
TWN7YQPN,0.10163991
BJRGMNFZ,0.19091348
9HFPJV3S,0.15875897
6WKJAUAG,0.052299757
BZUANVCU,0.46105915
NYWLDSFZ,0.54988515
LTW8JGAZ,0.067257404
IMDQJUTW,0.16652863
AVHZRCH8,0.40697485
LTSDWAVT,0.06075284
9WVKLADB,0.45258105
GXDSQJS2,0.066219054
4IHXKUNA,0.32376936
BTYDUQPC,0.04110441
BKCNFM72,0.11185204
UMVSSZ9N,0.08450976
N2STVKOI,0.071644224
ZZJQB3EY,0.5310464
FZJK9GH7,0.17571306
NTIWWNVB,0.02558775
NBCRWUBE,0.40786386
UBPYOBYG,0.5348569
K8RKMGVW,0.7561614
HFTH3NC2,0.05697832
759LCPDE,0.14065605
DYKME2AY,0.56628895
VZHURNZD,0.040376052
EAJJBYHU,0.2667952
T97TKZNT,0.4860752
IXOEQ2YD,0.9876178
BWKXTBCF,0.18727411
DNKPRVB3,0.26170275
JQCF2PXG,0.062315095
GIABLCP4,0.09768631
FDIC7S35,0.653662
5RTNFJEV,0.035743795
OBZ4CU77,0.15443334
XMVX6WEB,0.13826124
MHARJGPA,0.065814525
2QI5GPDU,0.51023054
AE2NBAJ3,0.015653059
MDLANJZG,0.010070289
7TAP99MA,0.2959265
A6AMKR2Z,0.22794719
DX69CFXV,0.20509733
HKCKEKV4,0.64171565
CBNWXPJJ,0.34433043
Z3SJXFCA,0.11928306
RHTCABWR,0.9541934
ILGMVREG,0.19539024
BZK32SSP,0.05614528
25RR4UGE,0.083795704
9ZQFVNWY,0.29584357
FFSTFCAA,0.094223715
MBEDAX9Z,0.4990403
IYERPTUY,0.13723606
SBNMNBJE,0.021939067
CPWDDHBP,0.4561714
EN5EXSVB,0.018625902
EFT7687S,0.20876594
DUPIVFIW,0.048439324
HTVBHNFH,0.07314709
GFTV6AXH,0.05960705
NTNK2ZYN,0.12345718
NZ2MDLPM,0.40188098
UU4ECFQ5,0.08612671
FFWGNGVJ,0.0465188
JDQIBLRI,0.054234013
ZAWUVVWA,0.08740554
FC24V4XD,0.42903557
EKTZZYA2,0.41628504
RVRMHDD8,0.032159828
3RASGR5Y,0.11475928
QRBESHHG,0.08567934
MXYLFHSV,0.17033944
TY85POPR,0.034860186
BHXO9INE,0.044014566
S2RKLYZH,0.47554764
98GUQS9R,0.4911425
6VD8FK4Y,0.060201194
FMUHBZHQ,0.069063894
IHQY3US8,0.28136894
VDSNW6DR,0.19842699
JF8E8TCY,0.21775192
EKVBDN5B,0.1342372
LJOYHFHT,0.5515893
8WBDXKKG,0.4046681
LNAASJ6O,0.12504455
HGTW39J8,0.23912412
AMYH3YSJ,0.11199093
QZRPEWE6,0.07793365
9RBSJHBJ,0.10047969
EFZ3ADG9,0.061803646
CMQX6K9J,0.1983977
DBVXEJCR,0.06597918
PLYKWBFR,0.1097866
7QNURUDE,0.15234734
M8TD2YPV,0.25367624
JVJZVKUJ,0.347496
XVUVCSM8,0.5587469
C9CMNJEH,0.21673998
IQLV6HTY,0.06376697
ELG7YZUM,0.07314676
PU9KWVOH,0.44880044
HAYJGRRV,0.07235798
KBKUHSLA,0.22893675
USL6KBDY,0.075553514
ZGLCSKTI,0.25612846
9JQWNRGA,0.11520152
EBVUVT88,0.07192783
9ZU5GNSK,0.1335858
EC7NIRSV,0.069104634
JJ23TDTX,0.39384046
IZWY5RYD,0.08795279
TSYCNH93,0.07940281
QSY6Q77W,0.5177074
TOBSGQ3J,0.18965493
FKGE6YRE,0.3259329
MGAYPPJE,0.055740137
IJRFUH6V,0.33748874
KX9Y3LCV,0.07320809
2ZDDJYHE,0.41472107
NBMLMYQE,0.14210698
E8XWCECR,0.2836239
5FP4HKBU,0.12675537
FUKFFD3F,0.33917093
8BDSMQUY,0.053224284
39T7KUFC,0.30982643
HZSPWI2U,0.50693697
LEJJKOWC,0.06347275
DR5F2HVS,0.10969937
BJA5TRWJ,0.34450647
NCVH9WFE,0.4208475
ME3XYUC5,0.17207968
VLCHSDHG,0.11935813
59CV3HQQ,0.13482578
JTAEBBQM,0.06356104
OBHDYLE2,0.28821102
EUEGA65T,0.071264565
MO9XWHWE,0.12793621
K3JSVGHE,0.06428957
JFHAQZQM,0.17824064
22IQJE4I,0.39529094
F57YH86H,0.13355426
BPNYWIPI,0.09426471
FJB78783,0.23258299
DIVE6ZUL,0.27821246
YACVPC9M,0.6300696
A3FM9UVE,0.08068372
9NE6ZC2Q,0.20974222
4NHTDBJN,0.28233692
3FH863BT,0.028757785
3UBBVIGN,0.30661815
NNP9TLV2,0.426803
SA7VUUTE,0.04822888
ROG7ONJG,0.41814128
ICEBXJHF,0.08881709
HFTYHFAZ,0.15922856
EC5IQBEK,0.053980913
VQPXGNJV,0.045338493
BNE8WOYV,0.14239146
MKEXSYJN,0.094747245
B2MY2KQE,0.10076428
GZVND3WE,0.41388538
JZ8ASRBZ,0.9966581
UMQWVVHH,0.26018155
MDGISGP7,0.07688054
JMVHKVGP,0.046128415
G5GPWASE,0.52834696
A9H3PMBD,0.08361136
DKEMLQCU,0.16870257
VVPNRFRF,0.3844203
AVIBMJNL,0.16877417
3FNEIWTQ,0.04454866
WMQIVFIH,0.2832178
GUSEEXX5,0.2546998
HZBZ7QMH,0.073745646
KMTZWEXS,0.052640256
62AXBXBL,0.098639235
FW6GESXM,0.09958631
A67RATVB,0.07969467
HUWJHKEG,0.08036418
KCHF33KH,0.4564873
CJUKTB4B,0.24104023
FA8NWHGK,0.19587132
6UZE4NSH,0.33263737
4UUZBMXW,0.13483246
QMRXRYDB,0.05634548
M3A5BVAC,0.9741804
II63YKTB,0.16728441
4OYB27TY,0.32406652
IEN9X6H8,0.10604919
U9VVATUM,0.5626474
SFOYCMRR,0.5719859
O7WYJHA5,0.29182386
STEKRYHT,0.016116146
QSX9J6OF,0.30689052
EVT46GYN,0.029987622
IQHUPR8Z,0.32710174
98WUTF8M,0.044298653
5JUSHPUM,0.06842382
9FMK8FZU,0.02079022
WPWW4JUN,0.47898445
8QUXAAHS,0.098633304
EU8RGIP7,0.24615917
BFT7ZJQO,0.05208377
4EQAO8W3,0.2873334
F3RWQSVQ,0.2012897
FUA3S84W,0.08827296
G9WITTNH,0.2263734
TE4CM6N8,0.9978613
L93TY7Q6,0.034097042
MK46HOFS,0.2723608
NSUSAJ7C,0.022140486
ZQXJP6PH,0.32840756
YX6PNVKN,0.063909054
7V7IJDSU,0.20557421
BSDHE7F2,0.43059877
DV5EXZEZ,0.38568497
VDKS85PW,0.34763375
4W48SFHV,0.38811362
ANGVCUXZ,0.073020086
IOST7D8C,0.69383955
HAQAECZX,0.025052225
GAB49KQU,0.13254751
GEBCXWCU,0.42783436
JPT2DAGQ,0.49925226
RXYEGKFP,0.5345382
4R6HCRNW,0.07580981
MWRTSE9B,0.15073447
JAC7FJCA,0.5186871
5DCT43QX,0.031711802
GFZMAKDD,0.06892372
8WVWSZNF,0.16437913
KCBVOKZ8,0.25224978
NRCEX3F3,0.11570762
59KYREQZ,0.14326547
S2HTHOYG,0.04204413
98QJA4ZA,0.06743248
8S27HJRE,0.21776836
MTEWWARX,0.12053091
PH8LQUCB,0.39929226
BYB9URVZ,0.80854756
3TYYHEQU,0.24827667
WTOPV47E,0.47212812
HGNGPJXH,0.28351375
LE5M9QWH,0.23958454
7YR3Z54H,0.12820058
9DLYZCUW,0.07643442
RKYQQQL5,0.16349646
5UTFCCXZ,0.33246598
JCYRCTNE,0.55964696
AJIVJ4WE,0.24454542
JTCERL4D,0.152158
XWS2DC9M,0.0565875
TVIX5INS,0.14762856
CIQZ4NJS,0.082604624
EJRPJ86R,0.07512222
HPQBQGWQ,0.066383034
FR38HJFG,0.12102932
JPXNNMXQ,0.6201533
HWED8UBF,0.3941567
CJ6ILARS,0.031012448
MBCCSXEA,0.07989682
4S84NTNM,0.15888509
ADGV3FDY,0.34108084
HSAJUCOR,0.46679652
HHV3JEXF,0.03420659
DHARALYV,0.39668182
KBVN65GH,0.08855349
UYHCQN7W,0.14568326
9VXSCU6F,0.18263894
F2DBEMXE,0.10665169
6VN358PX,0.21118078
T2J5Y8NB,0.024202479
HPXJGYEZ,0.9924138
CS5NAYPP,0.44083038
2UC6R5XE,0.3100077
KZ8TKYP4,0.061067592
Y8XIC3AH,0.39259842
GCT9PSGP,0.049312245
MPQQFX4I,0.15357588
8VCZYPZD,0.04781858
JCIQPZLE,0.06317448
AYSUMKSF,0.14394137
VVAVU9BN,0.48459494
F3NBRACB,0.08458965
FPIGVTHX,0.25498736
X7XNXJVW,0.0686527
JEKWRXYH,0.50067407
MNGYZO5U,0.18388048
FXPCJ7GE,0.5153003
BUXRB7CD,0.23005973
JV4MCTHN,0.07703278
JUFQ5PVJ,0.39342317
ENLVSM6O,0.32871294
CJHC43KV,0.5965825
N4NSCGHE,0.3850876
FUVHQRWB,0.07537037
GTQHBCF7,0.43398696
DSB6DIRV,0.09638265
BVUKQQRV,0.055469763
KZCHX6LW,0.030700987
M5XAM7HE,0.06701622
YODUTYZU,0.23594919
JEREISWR,0.4981633
FTHIZFGT,0.3173674
7TCFIDRX,0.03695859
V8CRCBLR,0.0670764
XEDZWKEX,0.43489897
RAD4GZKE,0.07849715
FY8NXMD2,0.036116954
KVZXQCUM,0.43916377
JXRP92WY,0.08599238
IYA3LI6E,0.36239874
FXEUAUMU,0.60537976
KXVZ3BNR,0.027438466
FTDASK8G,0.49614492
JZQZ7RWM,0.15793933
HNPMBXDN,0.18636861
3SUTYK7Z,0.039014857
EHAW2L37,0.058333464
H5HWWKTM,0.10443459
BQVSKRPN,0.10957286
EUK3CR9A,0.22604162
VRMGCTGP,0.08190987
ENDZJZGR,0.15198931
NSSYQFVN,0.09849515
7TRWUSYQ,0.99253196
7Z6JWBCW,0.14859879
7DR4UVAZ,0.18308912
H7YECJLG,0.23184621
CUNTRPMN,0.397213
VQQEMTVX,0.2848526
NWMFKQLZ,0.08422571
FIUW4SGY,0.067968674
JCVXZSJS,0.18991584
VZRUA5XP,0.47027102
923REBWY,0.103686064
3FKWHVLC,0.12549546
V8JTYKKL,0.07273146
A4MRC8NU,0.4896561
CQJTCLCJ,0.44886082
L9O3NMDQ,0.059177257
7DFWCHAN,0.040586844
NK7CWSGK,0.3256703
OLLGNEK9,0.06278905
KVOLRR62,0.14378126
KAI7SJGY,0.18478516
5LYDNC27,0.27438155
LPGW9PN3,0.094423234
4WA5JPWP,0.06920115
GCDXLWAN,0.20188157
7V6GQUOD,0.58386314
ENYQCCWM,0.020272095
B3BUXXA4,0.16600512
PC7INMMF,0.14623335
6PJ9NW3X,0.30954733
DXYC8WIG,0.23533794
DPKUYNJK,0.3589174
6ZRSCJ6J,0.41026074
CPX4EYVB,0.6354796
T28RFIEL,0.07496024
D4GXBMM8,0.3415081
JMQJAZHA,0.26205763
RZSFMVB9,0.43328682
T2QWMIDV,0.40872312
GRM6UHIW,0.05652503
X2SD7FMK,0.37425676
I4SENFDI,0.05434488
YSNU9M3K,0.09106603
USGXXPJH,0.5288944
QPQZPSMH,0.2233206
QPZDTV5V,0.05233538
H28ZERNP,0.99105
UNWHQWCY,0.31558657
7N8BRMDU,0.19439833
DFMGCWHV,0.017438227
8FP6ENF4,0.49010903
FAO6XGQE,0.1829534
X5FCJHQ5,0.07272176
GGFPEVFR,0.10317415
AP9SCCXC,0.10609257
WONWP8QB,0.066913925
CWEKUQ4P,0.92240393
C5CGJVQZ,0.38175625
HO4YRWYD,0.07764757
HLIYGGYA,0.049008656
QKAJK2VB,0.4752662
ZEZT2RND,0.06884666
